OBJECTID ,Shape,SECT  ID,ST  DIR,ST  NAME,ST  FROM,ST  TO,ST  TYPE,ST   SURFACE,SSORT2,SSORT1,LA NE  MILES,CL  MILES,CD,ST  LENGTH,ST_WlDTH,Grid  ID,BUFF  DIST,ORIG  FID,Shape  Len gth,Shape  Area
1,Polygon,3927900,S,NORMANDIE AV,2NDST,3RD ST,SE,OV,0,,0.54407,0.14962,10,790,40,2016,40,667,1662.049833,36758.17039
2,Polygon,3927800,S,NORMANDIE AV,1ST ST,2ND ST,SE,OV,0,,0 .389 11,0.1 07,10,565,40,2016,40,3356,1233.53894,26331.92818
3,Polygon,3927700,S,NORMANDIE AV,1ST ST,1ST ST,SE,OV,0,,0.24449,0 .06723,10,355,40,<Null>,40,3814,106.566234,341.838212
4,Polygon,6196100,W,1ST ST,ALEXANDRIA AV,MARIPOSA AV,SE,AS,0,,0.2066 1,0 .0568 1,13,300,40,2016,40,5769,684.426351,12661.39844
5,Polygon,6213300,W,2ND ST,ALEXANDRIA AV,MARIPOSA AV,LO,AS,0,,0.20661,0.05681,13,300,40,2016,40,5816,760.01302,24000.52072
6,Polygon,6231300,W,3RD ST,NORMANDIE AV,ARDI.IOREAV,SE,AS,0,,0.42045,0 .07007,10,370,66,<Null>,66,5987,130.250003,418.449169
7,Polygon,6231100,W,3RD ST,ALEXANDRIAAV,MARIPOSA AV,SE,AS,0,,0.431 81,0 .07196,10,380,66,<Null>,66,6532,884.913916,22053.0885
8,Polygon,6213000,W,2ND ST,KENMORE AV,EDGEMONT ST,LO,AS,0,,0.17906,0.04924,13,260,40,2016,40,6783,679.597138,20782.29126
9,Polygon,6195900,W,1ST ST,KENMORE AV,EDGEMONT ST,SE,OV,0,,0.22572,0 .05397,13,285,46,2016,46,7434,659.975819,14406.80263
10,Polygon,6213400,W,2ND ST,MARIPOSA AV,NORMANDIE AV,LO,AS,0,,0.20661,0.05681,13,300,40,2016,40,7581,760.174531,24006.97528
11,Polygon,6196000,W,1ST ST,EDGEMONT ST,ALEXANDRIA AV,SE,AS,0,,0.22572,0.05397,13,285,46,<Null>,46,9263,653.416073,12788.67167
12,Polygon,6213200,W,2ND ST,ALEXANDRIA AV,ALEXANDRIA AV,LO,AS,0,,0.10468,0.02878,13,152,40,2016,40,9809,460.807231,12032.28889
13,Polygon,6196200,W,1ST ST,MARIPOSA AV,NORMANDIE AV,SE,AS,0,,0.20316,0.05587,10,295,40,2016,40,10816,692.394225,13807.44652
14,Polygon,6213500,W,2ND ST,NORMANDIE AV,ARDMORE AV,LO,AS,0,,0.26515,0.07291,10,385,40,<Null>,40,10951,172.859108,514.343547
15,Polygon,6213100,W,2ND ST,EDGEMONT ST,ALEXANDRIA AV,LO,AP,0,,0.08953,0.02462,13,130,40,2016,40,11039,420.006355,10400.25387
16,Polygon,6231000,W,3RD ST,KENMORE AV,ALEXANDRIA AV,SE,AS,0,,0.42045,0.07007,10,370,66,<Null>,66,11299,881.235503,21785.85973
17,Polygon,6231200,W,3RD ST,MARIPOSA AV,NORMANDIE AV,SE,AS,0,,0.40909,0.068 18,10,360,66,<Null>,66,11696,808.437039,19996.70762
18,Polygon,3499300,N,MARIPOSA AV,COUNCL ST,1ST ST,LO,AS,0,,0.62672,0.17234,13,910,40,<Null>,40,23763,168.209066,328.021227
19,Polygon,3499400,S,MARIPOSA AV,1ST ST,2ND ST,LO,OV,0,,0.39256,0.10795,13,570,40,2016,40,25655,1300.79175,45631.66988
20,Polygon,3499500,S,MARIPOSA AV,2ND ST,3RD ST,LO,AS,0,,0.59469,0.14867,10,785,44,2016,44,26155,1743.483474,68969.27252
21,Polygon,2883900,S,KENMORE AV,2ND ST,3RD ST,LO,OV,0,,0.53719,0.14772,10,780,40,2016,40,29294,1650.045474,34541.62957
22,Polygon,2883700,N,KENMORE AV,BEVERLY BL,1ST ST,LO,OV,0,,0 .7 9648,0.24337,13,1285,36,<Null>,36,32368,80.934759,305.789596
23,Polygon,2883800,S,KENMORE AV,1ST ST,2ND ST,LO,AS,0,,0.3502,0.107,13,565,36,<Null>,36,32872,1161.139422,12815.49166
24,Polygon,1722500,N,EDGEMONT ST,COUNCL ST,1ST ST,LO,AS,0,,0.47004,0.17234,13,910,30,<Null>,30,43815,123.91014,116.917512
25,Polygon,1722600,S,EDGEI.IONT ST,1ST ST,2ND ST,LO,AS,0,,0.28925,0.10606,13,560,30,2016,30,44432,1249.549463,33886.46745
26,Polygon,86700,S,ALEXANDRIA AV,2ND ST,3RD ST,LO,AS,0,,0.59469,0.14867,10,785,44,2016,44,59192,1744.816939,69082.67724
27,Polygon,86600,S,ALEXANDRIA AV,1ST ST,2ND ST,LO,AS,0,,0.39256,0.10795,13,570,40,2016,40,61345,1300.079705,45611.03887
28,Polygon,86500,N,ALEXANDRIA AV,COUNCL ST,1ST ST,LO,AS,0,,0.62672,0.17234,13,910,40,<Null>,40,61720,124.722706,27.137296
